timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
3.868363,2026-01-26 14:26:45.001,50,block_start,no
3.879453,2026-01-26 14:26:45.012,1,trigger_1,no
5.914116,2026-01-26 14:26:47.046,10,concept_shoulder_category_A,no
7.933230,2026-01-26 14:26:49.066,30,beep_start,no
7.951259,2026-01-26 14:26:49.084,31,beep_1_8,no
8.766866,2026-01-26 14:26:49.899,31,beep_2_8,no
9.584221,2026-01-26 14:26:50.716,31,beep_3_8,no
10.401377,2026-01-26 14:26:51.534,31,beep_4_8,no
11.218841,2026-01-26 14:26:52.351,31,beep_5_8,no
12.053214,2026-01-26 14:26:53.185,31,beep_6_8,no
12.870121,2026-01-26 14:26:54.003,31,beep_7_8,no
13.687504,2026-01-26 14:26:54.820,31,beep_8_8,no
14.504560,2026-01-26 14:26:55.636,40,trigger_40,no
16.021313,2026-01-26 14:26:57.154,1,trigger_1,no
18.040787,2026-01-26 14:26:59.173,20,concept_grape_category_B,no
20.059483,2026-01-26 14:27:01.192,30,beep_start,no
20.078565,2026-01-26 14:27:01.210,31,beep_1_8,no
20.893514,2026-01-26 14:27:02.026,31,beep_2_8,no
21.710708,2026-01-26 14:27:02.843,31,beep_3_8,no
22.527971,2026-01-26 14:27:03.660,31,beep_4_8,no
23.345482,2026-01-26 14:27:04.478,31,beep_5_8,no
24.160980,2026-01-26 14:27:05.294,31,beep_6_8,no
24.980318,2026-01-26 14:27:06.113,31,beep_7_8,no
25.797548,2026-01-26 14:27:06.930,31,beep_8_8,no
26.614756,2026-01-26 14:27:07.747,40,trigger_40,no
27.614983,2026-01-26 14:27:08.748,51,block_end,no
