timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
3.446132,2026-01-26 14:29:03.753,50,block_start,no
3.469493,2026-01-26 14:29:03.777,1,fixation,no
5.504627,2026-01-26 14:29:05.812,10,concept_shoulder_category_A,no
7.522972,2026-01-26 14:29:07.830,30,beep_start,no
7.541869,2026-01-26 14:29:07.849,31,beep_1_8,no
8.357487,2026-01-26 14:29:08.665,31,beep_2_8,no
9.174661,2026-01-26 14:29:09.482,31,beep_3_8,no
9.992070,2026-01-26 14:29:10.299,31,beep_4_8,no
10.809368,2026-01-26 14:29:11.116,31,beep_5_8,no
11.643763,2026-01-26 14:29:11.950,31,beep_6_8,no
12.460894,2026-01-26 14:29:12.768,31,beep_7_8,no
13.277578,2026-01-26 14:29:13.585,31,beep_8_8,no
14.095897,2026-01-26 14:29:14.403,40,trial_end,no
15.612869,2026-01-26 14:29:15.920,1,fixation,no
17.630485,2026-01-26 14:29:17.938,20,concept_apple_category_B,no
19.650838,2026-01-26 14:29:19.958,30,beep_start,no
19.683237,2026-01-26 14:29:19.990,31,beep_1_8,no
20.503570,2026-01-26 14:29:20.810,31,beep_2_8,no
21.319249,2026-01-26 14:29:21.626,31,beep_3_8,no
22.135834,2026-01-26 14:29:22.443,31,beep_4_8,no
22.950921,2026-01-26 14:29:23.258,31,beep_5_8,no
23.769130,2026-01-26 14:29:24.076,31,beep_6_8,no
24.585352,2026-01-26 14:29:24.893,31,beep_7_8,no
25.401983,2026-01-26 14:29:25.709,31,beep_8_8,no
26.220747,2026-01-26 14:29:26.528,40,trial_end,no
27.221839,2026-01-26 14:29:27.529,51,block_end,no
