timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
7.306359,2026-01-26 14:41:08.204,50,block_start,no
7.338670,2026-01-26 14:41:08.236,1,fixation,no
9.400373,2026-01-26 14:41:10.298,10,concept_foot_category_A,no
12.468450,2026-01-26 14:41:13.366,30,beep_start,no
12.503975,2026-01-26 14:41:13.401,31,beep_1_8,no
13.318795,2026-01-26 14:41:14.217,31,beep_2_8,no
14.136472,2026-01-26 14:41:15.034,31,beep_3_8,no
14.954007,2026-01-26 14:41:15.851,31,beep_4_8,no
15.768715,2026-01-26 14:41:16.666,31,beep_5_8,no
16.606795,2026-01-26 14:41:17.505,31,beep_6_8,no
17.439839,2026-01-26 14:41:18.337,31,beep_7_8,no
18.256601,2026-01-26 14:41:19.154,31,beep_8_8,no
19.072806,2026-01-26 14:41:19.971,40,trial_end,no
20.725885,2026-01-26 14:41:21.623,1,fixation,no
22.762853,2026-01-26 14:41:23.661,20,concept_lemon_category_B,no
25.761874,2026-01-26 14:41:26.660,30,beep_start,no
25.797415,2026-01-26 14:41:26.695,31,beep_1_8,no
26.613565,2026-01-26 14:41:27.511,31,beep_2_8,no
27.430851,2026-01-26 14:41:28.328,31,beep_3_8,no
28.247738,2026-01-26 14:41:29.145,31,beep_4_8,no
29.081636,2026-01-26 14:41:29.979,31,beep_5_8,no
29.921189,2026-01-26 14:41:30.819,31,beep_6_8,no
30.750791,2026-01-26 14:41:31.649,31,beep_7_8,no
31.568000,2026-01-26 14:41:32.466,31,beep_8_8,no
32.385672,2026-01-26 14:41:33.283,40,trial_end,no
33.342808,2026-01-26 14:41:34.241,51,block_end,no
