timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
6.051146,2026-01-26 14:37:55.195,50,block_start,no
6.073475,2026-01-26 14:37:55.217,1,fixation,no
8.108498,2026-01-26 14:37:57.252,10,concept_wrist_category_A,no
11.243383,2026-01-26 14:38:00.388,30,beep_start,no
11.263917,2026-01-26 14:38:00.408,31,beep_1_8,no
12.077601,2026-01-26 14:38:01.222,31,beep_2_8,no
12.895186,2026-01-26 14:38:02.039,31,beep_3_8,no
13.713344,2026-01-26 14:38:02.857,31,beep_4_8,no
14.530087,2026-01-26 14:38:03.674,31,beep_5_8,no
15.361872,2026-01-26 14:38:04.506,31,beep_6_8,no
16.181430,2026-01-26 14:38:05.326,31,beep_7_8,no
16.998210,2026-01-26 14:38:06.142,31,beep_8_8,no
17.815461,2026-01-26 14:38:06.960,40,trial_end,no
19.200210,2026-01-26 14:38:08.344,1,fixation,no
21.216840,2026-01-26 14:38:10.361,20,concept_lemon_category_B,no
24.171553,2026-01-26 14:38:13.315,30,beep_start,no
24.190365,2026-01-26 14:38:13.334,31,beep_1_8,no
25.003114,2026-01-26 14:38:14.147,31,beep_2_8,no
25.822807,2026-01-26 14:38:14.967,31,beep_3_8,no
26.637973,2026-01-26 14:38:15.782,31,beep_4_8,no
27.457062,2026-01-26 14:38:16.601,31,beep_5_8,no
28.274965,2026-01-26 14:38:17.419,31,beep_6_8,no
29.091689,2026-01-26 14:38:18.235,31,beep_7_8,no
29.909244,2026-01-26 14:38:19.053,31,beep_8_8,no
30.726421,2026-01-26 14:38:19.871,40,trial_end,no
31.818587,2026-01-26 14:38:20.963,51,block_end,no
