timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
7.602371,2026-01-26 14:54:39.289,50,block_start,no
7.603116,2026-01-26 14:54:39.289,2,trial_start,no
7.617588,2026-01-26 14:54:39.305,1,fixation,no
9.652008,2026-01-26 14:54:41.339,10,concept_wrist_category_A,no
12.755505,2026-01-26 14:54:44.442,30,beep_start,no
12.775096,2026-01-26 14:54:44.462,31,beep_1_8,no
13.607779,2026-01-26 14:54:45.295,31,beep_2_8,no
14.423972,2026-01-26 14:54:46.111,31,beep_3_8,no
15.240723,2026-01-26 14:54:46.927,31,beep_4_8,no
16.074635,2026-01-26 14:54:47.761,31,beep_5_8,no
16.892368,2026-01-26 14:54:48.579,31,beep_6_8,no
17.709682,2026-01-26 14:54:49.397,31,beep_7_8,no
18.525664,2026-01-26 14:54:50.212,31,beep_8_8,no
19.347679,2026-01-26 14:54:51.035,40,trial_end,no
20.410157,2026-01-26 14:54:52.098,51,block_end,no
