timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
7.101579,2026-01-26 14:45:13.282,50,block_start,no
7.115795,2026-01-26 14:45:13.297,1,fixation,no
9.150567,2026-01-26 14:45:15.332,10,concept_hand_category_A,no
12.132410,2026-01-26 14:45:18.313,30,beep_start,no
12.195019,2026-01-26 14:45:18.376,31,beep_1_8,no
13.022576,2026-01-26 14:45:19.203,31,beep_2_8,no
13.839799,2026-01-26 14:45:20.020,31,beep_3_8,no
14.656015,2026-01-26 14:45:20.837,31,beep_4_8,no
15.474275,2026-01-26 14:45:21.655,31,beep_5_8,no
16.307730,2026-01-26 14:45:22.489,31,beep_6_8,no
17.143214,2026-01-26 14:45:23.324,31,beep_7_8,no
17.960040,2026-01-26 14:45:24.141,31,beep_8_8,no
18.775984,2026-01-26 14:45:24.957,40,trial_end,no
20.377858,2026-01-26 14:45:26.559,1,fixation,no
22.429333,2026-01-26 14:45:28.610,20,concept_strawberry_category_B,no
25.398714,2026-01-26 14:45:31.580,30,beep_start,no
25.432262,2026-01-26 14:45:31.613,31,beep_1_8,no
26.249069,2026-01-26 14:45:32.430,31,beep_2_8,no
27.065725,2026-01-26 14:45:33.246,31,beep_3_8,no
27.883662,2026-01-26 14:45:34.065,31,beep_4_8,no
28.700805,2026-01-26 14:45:34.881,31,beep_5_8,no
29.517837,2026-01-26 14:45:35.699,31,beep_6_8,no
30.335787,2026-01-26 14:45:36.517,31,beep_7_8,no
31.152312,2026-01-26 14:45:37.333,31,beep_8_8,no
31.971520,2026-01-26 14:45:38.152,40,trial_end,no
32.900329,2026-01-26 14:45:39.082,51,block_end,no
