timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
5.046652,2026-01-26 14:34:09.754,50,block_start,no
5.055130,2026-01-26 14:34:09.763,1,fixation,no
7.191915,2026-01-26 14:34:11.900,10,concept_wrist_category_A,no
10.077396,2026-01-26 14:34:14.784,30,beep_start,no
10.097444,2026-01-26 14:34:14.805,31,beep_1_8,no
10.860328,2026-01-26 14:34:15.567,31,beep_2_8,no
11.646179,2026-01-26 14:34:16.354,31,beep_3_8,no
12.463614,2026-01-26 14:34:17.170,31,beep_4_8,no
13.232726,2026-01-26 14:34:17.940,31,beep_5_8,no
14.131042,2026-01-26 14:34:18.838,31,beep_6_8,no
14.999376,2026-01-26 14:34:19.706,31,beep_7_8,no
15.813941,2026-01-26 14:34:20.522,31,beep_8_8,no
16.566671,2026-01-26 14:34:21.273,40,trial_end,no
18.149893,2026-01-26 14:34:22.857,1,fixation,no
20.339605,2026-01-26 14:34:25.047,20,concept_grape_category_B,no
23.438276,2026-01-26 14:34:28.146,30,beep_start,no
23.457741,2026-01-26 14:34:28.165,31,beep_1_8,no
24.273199,2026-01-26 14:34:28.981,31,beep_2_8,no
25.123607,2026-01-26 14:34:29.831,31,beep_3_8,no
25.974397,2026-01-26 14:34:30.681,31,beep_4_8,no
26.741397,2026-01-26 14:34:31.449,31,beep_5_8,no
27.592943,2026-01-26 14:34:32.300,31,beep_6_8,no
28.359945,2026-01-26 14:34:33.067,31,beep_7_8,no
29.179003,2026-01-26 14:34:33.886,31,beep_8_8,no
29.910480,2026-01-26 14:34:34.618,40,trial_end,no
30.866202,2026-01-26 14:34:35.574,51,block_end,no
