timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
8.453309,2026-01-26 14:46:41.755,50,block_start,no
8.468896,2026-01-26 14:46:41.771,1,fixation,no
10.504231,2026-01-26 14:46:43.805,10,concept_knee_category_A,no
13.440404,2026-01-26 14:46:46.742,30,beep_start,no
13.507105,2026-01-26 14:46:46.808,31,beep_1_8,no
14.376413,2026-01-26 14:46:47.678,31,beep_2_8,no
15.225509,2026-01-26 14:46:48.527,31,beep_3_8,no
16.093806,2026-01-26 14:46:49.396,31,beep_4_8,no
16.943171,2026-01-26 14:46:50.245,31,beep_5_8,no
17.810209,2026-01-26 14:46:51.112,31,beep_6_8,no
18.662851,2026-01-26 14:46:51.965,31,beep_7_8,no
19.512214,2026-01-26 14:46:52.814,31,beep_8_8,no
20.329510,2026-01-26 14:46:53.632,40,trial_end,no
21.797841,2026-01-26 14:46:55.100,1,fixation,no
23.831931,2026-01-26 14:46:57.134,20,concept_strawberry_category_B,no
26.768109,2026-01-26 14:47:00.070,30,beep_start,no
26.834780,2026-01-26 14:47:00.136,31,beep_1_8,no
27.701996,2026-01-26 14:47:01.004,31,beep_2_8,no
28.553169,2026-01-26 14:47:01.855,31,beep_3_8,no
29.405383,2026-01-26 14:47:02.707,31,beep_4_8,no
30.254890,2026-01-26 14:47:03.556,31,beep_5_8,no
31.104824,2026-01-26 14:47:04.407,31,beep_6_8,no
31.956311,2026-01-26 14:47:05.258,31,beep_7_8,no
32.823740,2026-01-26 14:47:06.126,31,beep_8_8,no
33.639766,2026-01-26 14:47:06.942,40,trial_end,no
34.618164,2026-01-26 14:47:07.920,51,block_end,no
