timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
7.195943,2026-01-26 14:55:45.960,50,block_start,no
7.197118,2026-01-26 14:55:45.961,2,trial_start,no
7.212845,2026-01-26 14:55:45.976,1,fixation,no
9.247606,2026-01-26 14:55:48.011,10,concept_wrist_category_A,no
12.251643,2026-01-26 14:55:51.015,30,beep_start,no
12.271791,2026-01-26 14:55:51.035,31,beep_1_8,no
13.104549,2026-01-26 14:55:51.868,31,beep_2_8,no
13.919040,2026-01-26 14:55:52.683,31,beep_3_8,no
14.736448,2026-01-26 14:55:53.500,31,beep_4_8,no
15.569825,2026-01-26 14:55:54.334,31,beep_5_8,no
16.387792,2026-01-26 14:55:55.152,31,beep_6_8,no
17.204437,2026-01-26 14:55:55.968,31,beep_7_8,no
18.022092,2026-01-26 14:55:56.786,31,beep_8_8,no
18.838009,2026-01-26 14:55:57.602,40,trial_end,no
19.899604,2026-01-26 14:55:58.664,51,block_end,no
