timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
27.101780,2026-01-26 14:33:02.665,50,block_start,no
27.111414,2026-01-26 14:33:02.675,1,fixation,no
29.163776,2026-01-26 14:33:04.728,10,concept_elbow_category_A,no
31.181104,2026-01-26 14:33:06.744,30,beep_start,no
31.199875,2026-01-26 14:33:06.763,31,beep_1_8,no
32.015032,2026-01-26 14:33:07.579,31,beep_2_8,no
32.848107,2026-01-26 14:33:08.412,31,beep_3_8,no
33.631755,2026-01-26 14:33:09.196,31,beep_4_8,no
34.468459,2026-01-26 14:33:10.032,31,beep_5_8,no
35.283354,2026-01-26 14:33:10.847,31,beep_6_8,no
36.088344,2026-01-26 14:33:11.652,31,beep_7_8,no
36.936967,2026-01-26 14:33:12.501,31,beep_8_8,no
37.702940,2026-01-26 14:33:13.267,40,trial_end,no
39.255049,2026-01-26 14:33:14.819,1,fixation,no
41.206575,2026-01-26 14:33:16.770,20,concept_grape_category_B,no
43.224872,2026-01-26 14:33:18.788,30,beep_start,no
43.244043,2026-01-26 14:33:18.808,31,beep_1_8,no
44.075269,2026-01-26 14:33:19.639,31,beep_2_8,no
44.977568,2026-01-26 14:33:20.541,31,beep_3_8,no
45.796147,2026-01-26 14:33:21.360,31,beep_4_8,no
46.628621,2026-01-26 14:33:22.193,31,beep_5_8,no
47.462481,2026-01-26 14:33:23.027,31,beep_6_8,no
48.230336,2026-01-26 14:33:23.794,31,beep_7_8,no
49.114729,2026-01-26 14:33:24.678,31,beep_8_8,no
49.964339,2026-01-26 14:33:25.529,40,trial_end,no
50.965312,2026-01-26 14:33:26.529,51,block_end,no
