timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
7.322279,2026-01-26 15:04:36.435,151,block_1_start,no
7.323482,2026-01-26 15:04:36.436,101,trial_1_start,no
7.337562,2026-01-26 15:04:36.451,1,fixation,no
9.372975,2026-01-26 15:04:38.486,10,concept_foot_category_A,no
12.359972,2026-01-26 15:04:41.473,30,beep_start,no
12.381010,2026-01-26 15:04:41.495,31,beep_1_8,no
13.192041,2026-01-26 15:04:42.305,32,beep_2_8,no
14.012127,2026-01-26 15:04:43.126,33,beep_3_8,no
14.829670,2026-01-26 15:04:43.943,34,beep_4_8,no
15.652584,2026-01-26 15:04:44.766,35,beep_5_8,no
16.482313,2026-01-26 15:04:45.595,36,beep_6_8,no
17.300989,2026-01-26 15:04:46.414,37,beep_7_8,no
18.114319,2026-01-26 15:04:47.227,38,beep_8_8,no
18.933168,2026-01-26 15:04:48.046,201,trial_1_end,no
20.387130,2026-01-26 15:04:49.501,102,trial_2_start,no
20.398062,2026-01-26 15:04:49.511,1,fixation,no
22.434933,2026-01-26 15:04:51.548,20,concept_lemon_category_B,no
25.436490,2026-01-26 15:04:54.550,30,beep_start,no
25.457123,2026-01-26 15:04:54.570,31,beep_1_8,no
26.269761,2026-01-26 15:04:55.383,32,beep_2_8,no
27.087405,2026-01-26 15:04:56.201,33,beep_3_8,no
27.904540,2026-01-26 15:04:57.018,34,beep_4_8,no
28.722079,2026-01-26 15:04:57.835,35,beep_5_8,no
29.541592,2026-01-26 15:04:58.655,36,beep_6_8,no
30.359321,2026-01-26 15:04:59.472,37,beep_7_8,no
31.173908,2026-01-26 15:05:00.286,38,beep_8_8,no
31.990286,2026-01-26 15:05:01.104,202,trial_2_end,no
32.904479,2026-01-26 15:05:02.018,251,block_1_end,no
