timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
8.684423,2026-01-26 14:43:55.068,50,block_start,no
8.701338,2026-01-26 14:43:55.085,1,fixation,no
10.731883,2026-01-26 14:43:57.114,10,concept_knee_category_A,no
13.804082,2026-01-26 14:44:00.187,30,beep_start,no
13.838559,2026-01-26 14:44:00.222,31,beep_1_8,no
14.654330,2026-01-26 14:44:01.038,31,beep_2_8,no
15.472499,2026-01-26 14:44:01.856,31,beep_3_8,no
16.288663,2026-01-26 14:44:02.672,31,beep_4_8,no
17.106312,2026-01-26 14:44:03.489,31,beep_5_8,no
17.940334,2026-01-26 14:44:04.323,31,beep_6_8,no
18.758243,2026-01-26 14:44:05.141,31,beep_7_8,no
19.575986,2026-01-26 14:44:05.959,31,beep_8_8,no
20.392758,2026-01-26 14:44:06.776,40,trial_end,no
21.909772,2026-01-26 14:44:08.292,1,fixation,no
23.946809,2026-01-26 14:44:10.331,20,concept_lemon_category_B,no
26.948443,2026-01-26 14:44:13.332,30,beep_start,no
26.976843,2026-01-26 14:44:13.360,31,beep_1_8,no
27.800024,2026-01-26 14:44:14.184,31,beep_2_8,no
28.615759,2026-01-26 14:44:14.999,31,beep_3_8,no
29.450546,2026-01-26 14:44:15.833,31,beep_4_8,no
30.265467,2026-01-26 14:44:16.649,31,beep_5_8,no
31.085490,2026-01-26 14:44:17.468,31,beep_6_8,no
31.901445,2026-01-26 14:44:18.285,31,beep_7_8,no
32.720896,2026-01-26 14:44:19.105,31,beep_8_8,no
33.537480,2026-01-26 14:44:19.921,40,trial_end,no
34.573637,2026-01-26 14:44:20.957,51,block_end,no
