timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
7.637040,2026-01-26 15:02:13.501,50,block_start,no
7.638475,2026-01-26 15:02:13.503,101,trial_1_start,no
7.652350,2026-01-26 15:02:13.517,1,fixation,no
9.687931,2026-01-26 15:02:15.553,10,concept_shoulder_category_A,no
12.640067,2026-01-26 15:02:18.504,30,beep_start,no
12.660041,2026-01-26 15:02:18.524,31,beep_1_8,no
13.473072,2026-01-26 15:02:19.337,32,beep_2_8,no
14.291320,2026-01-26 15:02:20.156,33,beep_3_8,no
15.108793,2026-01-26 15:02:20.972,34,beep_4_8,no
15.943450,2026-01-26 15:02:21.808,35,beep_5_8,no
16.759696,2026-01-26 15:02:22.624,36,beep_6_8,no
17.578111,2026-01-26 15:02:23.442,37,beep_7_8,no
18.393962,2026-01-26 15:02:24.258,38,beep_8_8,no
19.212577,2026-01-26 15:02:25.076,201,trial_1_end,no
20.701071,2026-01-26 15:02:26.565,102,trial_2_start,no
20.712741,2026-01-26 15:02:26.577,1,fixation,no
22.731505,2026-01-26 15:02:28.595,20,concept_banana_category_B,no
25.850454,2026-01-26 15:02:31.714,30,beep_start,no
25.870263,2026-01-26 15:02:31.735,31,beep_1_8,no
26.684594,2026-01-26 15:02:32.549,32,beep_2_8,no
27.500975,2026-01-26 15:02:33.365,33,beep_3_8,no
28.319790,2026-01-26 15:02:34.184,34,beep_4_8,no
29.136114,2026-01-26 15:02:35.001,35,beep_5_8,no
29.953610,2026-01-26 15:02:35.818,36,beep_6_8,no
30.771575,2026-01-26 15:02:36.636,37,beep_7_8,no
31.588363,2026-01-26 15:02:37.452,38,beep_8_8,no
32.405579,2026-01-26 15:02:38.270,202,trial_2_end,no
34.006807,2026-01-26 15:02:39.871,103,trial_3_start,no
34.023553,2026-01-26 15:02:39.887,1,fixation,no
36.042621,2026-01-26 15:02:41.907,10,concept_foot_category_A,no
39.146231,2026-01-26 15:02:45.011,30,beep_start,no
39.166001,2026-01-26 15:02:45.030,31,beep_1_8,no
39.979464,2026-01-26 15:02:45.844,32,beep_2_8,no
40.793169,2026-01-26 15:02:46.658,33,beep_3_8,no
41.614157,2026-01-26 15:02:47.477,34,beep_4_8,no
42.429933,2026-01-26 15:02:48.294,35,beep_5_8,no
43.247931,2026-01-26 15:02:49.112,36,beep_6_8,no
44.068969,2026-01-26 15:02:49.933,37,beep_7_8,no
44.882821,2026-01-26 15:02:50.747,38,beep_8_8,no
45.703049,2026-01-26 15:02:51.568,203,trial_3_end,no
46.619096,2026-01-26 15:02:52.484,251,block_1_end,no
