timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
7.437161,2026-01-26 15:22:10.623,151,block_1_start,no
7.438157,2026-01-26 15:22:10.624,101,trial_1_start,no
7.450825,2026-01-26 15:22:10.637,1,fixation,no
9.474254,2026-01-26 15:22:12.661,10,concept_hand_category_A,no
12.523594,2026-01-26 15:22:15.710,30,beep_start,no
12.544005,2026-01-26 15:22:15.731,31,beep_1_8,no
13.357469,2026-01-26 15:22:16.544,32,beep_2_8,no
14.174401,2026-01-26 15:22:17.361,33,beep_3_8,no
14.992738,2026-01-26 15:22:18.179,34,beep_4_8,no
15.809757,2026-01-26 15:22:18.996,35,beep_5_8,no
16.626763,2026-01-26 15:22:19.813,36,beep_6_8,no
17.444175,2026-01-26 15:22:20.631,37,beep_7_8,no
18.261616,2026-01-26 15:22:21.448,38,beep_8_8,no
19.078914,2026-01-26 15:22:22.265,201,trial_1_end,no
20.506667,2026-01-26 15:22:23.693,102,trial_2_start,no
20.511661,2026-01-26 15:22:23.698,1,fixation,no
22.531352,2026-01-26 15:22:25.718,20,concept_strawberry_category_B,no
25.582768,2026-01-26 15:22:28.769,30,beep_start,no
25.604738,2026-01-26 15:22:28.791,31,beep_1_8,no
26.418559,2026-01-26 15:22:29.605,32,beep_2_8,no
27.235247,2026-01-26 15:22:30.421,33,beep_3_8,no
28.052768,2026-01-26 15:22:31.239,34,beep_4_8,no
28.870567,2026-01-26 15:22:32.057,35,beep_5_8,no
29.687960,2026-01-26 15:22:32.875,36,beep_6_8,no
30.504580,2026-01-26 15:22:33.691,37,beep_7_8,no
31.322050,2026-01-26 15:22:34.509,38,beep_8_8,no
32.139311,2026-01-26 15:22:35.326,202,trial_2_end,no
33.572864,2026-01-26 15:22:36.760,103,trial_3_start,no
33.590625,2026-01-26 15:22:36.777,1,fixation,no
35.608984,2026-01-26 15:22:38.796,10,concept_hand_category_A,no
38.560606,2026-01-26 15:22:41.748,30,beep_start,no
38.581724,2026-01-26 15:22:41.768,31,beep_1_8,no
39.395505,2026-01-26 15:22:42.582,32,beep_2_8,no
40.211341,2026-01-26 15:22:43.398,33,beep_3_8,no
41.030147,2026-01-26 15:22:44.217,34,beep_4_8,no
41.847595,2026-01-26 15:22:45.034,35,beep_5_8,no
42.664631,2026-01-26 15:22:45.852,36,beep_6_8,no
43.482855,2026-01-26 15:22:46.670,37,beep_7_8,no
44.297730,2026-01-26 15:22:47.485,38,beep_8_8,no
45.117243,2026-01-26 15:22:48.304,203,trial_3_end,no
46.525689,2026-01-26 15:22:49.713,104,trial_4_start,no
46.534623,2026-01-26 15:22:49.721,1,fixation,no
48.552888,2026-01-26 15:22:51.740,20,concept_grape_category_B,no
51.639049,2026-01-26 15:22:54.826,30,beep_start,no
51.659083,2026-01-26 15:22:54.845,31,beep_1_8,no
52.473187,2026-01-26 15:22:55.660,32,beep_2_8,no
53.289941,2026-01-26 15:22:56.477,33,beep_3_8,no
54.105396,2026-01-26 15:22:57.292,34,beep_4_8,no
54.925204,2026-01-26 15:22:58.112,35,beep_5_8,no
55.742370,2026-01-26 15:22:58.929,36,beep_6_8,no
56.559255,2026-01-26 15:22:59.746,37,beep_7_8,no
57.377004,2026-01-26 15:23:00.564,38,beep_8_8,no
58.194194,2026-01-26 15:23:01.381,204,trial_4_end,no
59.614501,2026-01-26 15:23:02.802,105,trial_5_start,no
59.629063,2026-01-26 15:23:02.816,1,fixation,no
61.645251,2026-01-26 15:23:04.832,10,concept_foot_category_A,no
64.669169,2026-01-26 15:23:07.856,30,beep_start,no
64.686490,2026-01-26 15:23:07.874,31,beep_1_8,no
65.499966,2026-01-26 15:23:08.687,32,beep_2_8,no
66.321433,2026-01-26 15:23:09.509,33,beep_3_8,no
67.135250,2026-01-26 15:23:10.323,34,beep_4_8,no
67.952044,2026-01-26 15:23:11.139,35,beep_5_8,no
68.770099,2026-01-26 15:23:11.957,36,beep_6_8,no
69.586833,2026-01-26 15:23:12.774,37,beep_7_8,no
70.404123,2026-01-26 15:23:13.591,38,beep_8_8,no
71.222559,2026-01-26 15:23:14.410,205,trial_5_end,no
72.690305,2026-01-26 15:23:15.877,106,trial_6_start,no
72.706471,2026-01-26 15:23:15.894,1,fixation,no
74.722612,2026-01-26 15:23:17.909,20,concept_lemon_category_B,no
77.810659,2026-01-26 15:23:20.998,30,beep_start,no
77.830937,2026-01-26 15:23:21.018,31,beep_1_8,no
78.644716,2026-01-26 15:23:21.832,32,beep_2_8,no
79.462005,2026-01-26 15:23:22.649,33,beep_3_8,no
80.279350,2026-01-26 15:23:23.467,34,beep_4_8,no
81.096381,2026-01-26 15:23:24.284,35,beep_5_8,no
81.913768,2026-01-26 15:23:25.101,36,beep_6_8,no
82.730909,2026-01-26 15:23:25.918,37,beep_7_8,no
83.548642,2026-01-26 15:23:26.736,38,beep_8_8,no
84.365666,2026-01-26 15:23:27.553,206,trial_6_end,no
85.300359,2026-01-26 15:23:28.488,251,block_1_end,no
