timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
6.509117,2026-01-26 14:40:19.640,50,block_start,no
6.522671,2026-01-26 14:40:19.653,1,fixation,no
8.541432,2026-01-26 14:40:21.672,10,concept_shoulder_category_A,no
11.513108,2026-01-26 14:40:24.643,30,beep_start,no
11.546395,2026-01-26 14:40:24.677,31,beep_1_8,no
12.363027,2026-01-26 14:40:25.493,31,beep_2_8,no
13.180534,2026-01-26 14:40:26.311,31,beep_3_8,no
13.997842,2026-01-26 14:40:27.128,31,beep_4_8,no
14.814963,2026-01-26 14:40:27.945,31,beep_5_8,no
15.648683,2026-01-26 14:40:28.779,31,beep_6_8,no
16.462294,2026-01-26 14:40:29.593,31,beep_7_8,no
17.280819,2026-01-26 14:40:30.412,31,beep_8_8,no
18.098640,2026-01-26 14:40:31.229,40,trial_end,no
19.650695,2026-01-26 14:40:32.781,1,fixation,no
21.690000,2026-01-26 14:40:34.821,20,concept_grape_category_B,no
24.688542,2026-01-26 14:40:37.820,30,beep_start,no
24.724272,2026-01-26 14:40:37.855,31,beep_1_8,no
25.536693,2026-01-26 14:40:38.668,31,beep_2_8,no
26.356944,2026-01-26 14:40:39.488,31,beep_3_8,no
27.174922,2026-01-26 14:40:40.306,31,beep_4_8,no
27.991235,2026-01-26 14:40:41.122,31,beep_5_8,no
28.808135,2026-01-26 14:40:41.939,31,beep_6_8,no
29.627890,2026-01-26 14:40:42.759,31,beep_7_8,no
30.443853,2026-01-26 14:40:43.574,31,beep_8_8,no
31.258097,2026-01-26 14:40:44.389,40,trial_end,no
32.163494,2026-01-26 14:40:45.295,51,block_end,no
