timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
7.252509,2026-01-26 14:59:31.999,50,block_start,no
7.253698,2026-01-26 14:59:32.000,2,trial_start,no
7.266783,2026-01-26 14:59:32.013,1,fixation,no
9.303198,2026-01-26 14:59:34.049,10,concept_hand_category_A,no
12.305203,2026-01-26 14:59:37.052,30,beep_start,no
12.326924,2026-01-26 14:59:37.074,31,beep_1_8,no
13.139146,2026-01-26 14:59:37.885,32,beep_2_8,no
13.957659,2026-01-26 14:59:38.704,33,beep_3_8,no
14.774261,2026-01-26 14:59:39.521,34,beep_4_8,no
15.591850,2026-01-26 14:59:40.338,35,beep_5_8,no
16.410484,2026-01-26 14:59:41.157,36,beep_6_8,no
17.226021,2026-01-26 14:59:41.972,37,beep_7_8,no
18.044576,2026-01-26 14:59:42.791,38,beep_8_8,no
18.860407,2026-01-26 14:59:43.607,40,trial_end,no
19.797426,2026-01-26 14:59:44.544,51,block_end,no
