timestamp_psychopy,timestamp_absolute,trigger_code,event_name,sent_to_eeg
14.558627,2026-01-26 14:31:47.018,50,block_start,no
14.569271,2026-01-26 14:31:47.029,1,fixation,no
16.705610,2026-01-26 14:31:49.165,10,concept_wrist_category_A,no
18.724132,2026-01-26 14:31:51.184,30,beep_start,no
18.757275,2026-01-26 14:31:51.217,31,beep_1_8,no
19.574615,2026-01-26 14:31:52.034,31,beep_2_8,no
20.389176,2026-01-26 14:31:52.849,31,beep_3_8,no
21.207060,2026-01-26 14:31:53.666,31,beep_4_8,no
22.026086,2026-01-26 14:31:54.485,31,beep_5_8,no
22.843955,2026-01-26 14:31:55.303,31,beep_6_8,no
23.664318,2026-01-26 14:31:56.124,31,beep_7_8,no
24.476251,2026-01-26 14:31:56.936,31,beep_8_8,no
25.295189,2026-01-26 14:31:57.754,40,trial_end,no
26.845953,2026-01-26 14:31:59.305,1,fixation,no
28.797677,2026-01-26 14:32:01.257,20,concept_banana_category_B,no
30.816641,2026-01-26 14:32:03.276,30,beep_start,no
30.851560,2026-01-26 14:32:03.311,31,beep_1_8,no
31.667567,2026-01-26 14:32:04.126,31,beep_2_8,no
32.484773,2026-01-26 14:32:04.943,31,beep_3_8,no
33.302672,2026-01-26 14:32:05.762,31,beep_4_8,no
34.117007,2026-01-26 14:32:06.576,31,beep_5_8,no
34.937491,2026-01-26 14:32:07.396,31,beep_6_8,no
35.752850,2026-01-26 14:32:08.212,31,beep_7_8,no
36.574945,2026-01-26 14:32:09.034,31,beep_8_8,no
37.389342,2026-01-26 14:32:09.848,40,trial_end,no
38.390364,2026-01-26 14:32:10.850,51,block_end,no
